ATTRIBUTE,GOLD,PRED
kokk,0.184,0.032
advokat,0.02,-0.002
advokatsekretær,-0.91,-0.105
afis-fullmektig,0.51,0.024
agronom,0.216,0.03
aksjemegler,0.368,0.056
aktivitør,-0.286,-0.065
aktuar,0.412,0.02
grunnskolelærer,-0.508,-0.06
ambulansearbeider,0.168,-0.058
anleggsgartner,0.608,0.037
anleggsmaskinfører,0.96,0.026
apoteker,-0.344,0.014
apotektekniker,-0.912,-0.029
arkeolog,-0.412,-0.029
arkitekt,-0.008,0.009
arkivar,-0.42,-0.054
art director,0.126,0.03
personlig assistent,-0.468,-0.043
astronom,0.57,0.025
audiograf,-0.45,-0.017
automatiker,0.892,0.025
avioniker,0.892,0.046
badevakt,0.012,0.014
baker,0.126,0.042
barne- og ungdomsarbeider,-0.63,-0.028
barnehageassistent,-0.698,-0.098
barnevernspedagog,-0.724,-0.087
bartender,-0.066,-0.011
bibliotekar,-0.584,-0.095
billakkerer,0.842,0.052
bilmekaniker (lette kjøretøy),0.962,0.015
bilselger,0.886,0.022
bioingeniør,-0.658,-0.075
biokjemiker,-0.032,-0.014
biolog,0.028,-0.011
bioteknolog,-0.2,0.017
blikkenslager,0.972,0.059
blomsterdekoratør,-0.918,-0.061
brannkonstabel,0.896,-0.02
brønnoperatør,0.93,0.028
bussjåfør,0.856,0.035
butikkmedarbeider,-0.258,-0.069
ferskvarehandler,-0.058,0.043
dansepedagog,-0.754,-0.072
danser,-0.288,-0.062
dataingeniør,0.638,-0.001
diakon,-0.688,-0.026
dirigent,0.006,0.009
dommer,0.042,0.011
dykker,0.952,0.022
dyrepleier,-0.892,-0.073
tegnspråktolk,-0.866,0.002
eiendomsmegler,0.33,0.07
elektriker,0.948,0.044
elektroingeniør,0.784,0.011
energimontør,0.936,0.02
ergoterapeut,-0.772,-0.05
klinisk ernæringsfysiolog,-0.904,-0.043
faglærer,0.016,-0.027
provisorfarmasøyt,-0.632,-0.09
brannforebygger,0.772,0.013
fengselsbetjent,0.162,0.013
fagoperatør akvakultur (fiskeoppdretter),0.656,0.004
flygeleder,0.514,0.023
flymotormekaniker,0.892,0.076
forfatter,-0.114,-0.035
forsikringsrådgiver,0.05,0.016
forsker,0.072,-0.019
fotballspiller,0.754,0.037
fotballtrener,0.762,0.018
fotograf,0.332,0.004
fotojournalist,0.564,-0.045
fotterapeut,-0.908,-0.07
frisør,-0.776,-0.04
fu-operatør,0.814,0.019
fysioterapeut,-0.526,-0.024
barnehagelærer,-0.812,-0.089
gartner,0.052,0.034
geofysiker,0.33,0.021
geograf,-0.1,-0.002
geolog,0.338,0.04
glassblåser,0.426,0.037
grafisk designer,-0.038,0.0
guide,0.008,-0.002
gullsmed,-0.16,0.029
havforsker,0.292,0.029
heismontør,0.982,0.025
helsesekretær,-0.97,-0.057
helsesykepleier,-0.984,-0.108
helsefagarbeider,-0.678,-0.062
hms-ingeniør,0.17,0.03
hotelldirektør,0.294,0.008
hovmester,-0.126,0.051
hovslager,0.454,0.045
hudpleier,-0.986,-0.099
husøkonom,-0.672,-0.053
hydrolog,0.302,0.042
idrettskonsulent,0.278,0.01
idrettstrener,0.036,0.021
illustratør,-0.194,-0.013
industridesigner,0.408,-0.003
industrimaler,0.972,0.09
industrimekaniker,0.908,0.029
industrirørlegger,0.966,0.032
ingeniør,0.584,0.027
inspisient,0.066,0.005
interiørarkitekt,-0.722,-0.088
interiørkonsulent,-0.718,-0.071
isolatør,0.976,0.037
it-konsulent,0.562,0.018
jordmor,-0.998,-0.119
journalist,0.072,-0.085
jurist,-0.284,-0.014
kabinpersonale fly,-0.564,-0.006
karriereveileder,-0.418,-0.006
kateket,-0.444,-0.023
kirketjener,0.382,0.034
kiropraktor,0.284,0.001
kjemiingeniør,-0.134,-0.014
kjemiker,-0.134,0.003
kjole- og draktsyer,-0.756,-0.072
klesdesigner,-0.74,-0.079
konditor,-0.44,-0.005
konduktør,0.136,0.026
konservator,-0.372,-0.018
service- og administrasjonsmedarbeider,-0.428,-0.022
kosmetolog,-0.946,-0.087
kostymesyer,-0.908,-0.091
kostøkonom,-0.186,-0.009
fagoperatør kran- og løfteoperasjoner (kranfører),0.94,0.005
kulde- og varmepumpetekniker,0.974,0.013
kunderådgiver i bank,-0.1,-0.011
kunsthåndverker,0.038,-0.019
kunstner,-0.034,-0.021
kystskipper,0.976,0.036
laborant,-0.326,-0.044
landmåler,0.45,0.046
landskapsarkitekt,-0.326,-0.024
yrkessjåfør,0.91,0.056
leder,0.306,-0.001
lege,-0.086,-0.019
legemiddelkonsulent,-0.046,-0.013
lektor,-0.246,-0.018
logistikkoperatør,0.624,0.013
logoped,-0.862,-0.005
los,0.956,0.04
lydtekniker,0.866,0.035
lystekniker,0.51,0.025
lærer,-0.378,-0.042
maler,0.876,0.042
marinbiolog,-0.236,0.002
markedsfører,-0.15,0.022
markedssjef,0.206,0.013
maskiningeniør,0.836,0.04
maskør- og parykkmaker,-0.738,0.015
massasjeterapeut,-0.658,-0.035
matematiker,-0.04,0.002
matros,0.888,0.056
mediedesigner,0.02,-0.009
megler,0.368,0.054
mekaniker,0.958,0.043
meteorolog,0.088,0.028
modell,-0.368,-0.025
skipsmotormekaniker,0.978,0.045
motormekaniker,0.976,0.045
mur-og flislegger,0.98,0.063
musiker,0.172,0.01
musikkpedagog,-0.128,-0.046
møbelsnekker,0.81,0.041
møbeltapetserer,0.416,0.019
naturforvalter,0.662,0.007
negledesigner,-0.908,-0.126
mattekniker,-0.294,0.028
optiker,-0.286,0.016
organist/kantor,0.204,0.009
ortoped,0.542,0.005
ortopediingeniør,-0.154,-0.009
ortopeditekniker,0.302,0.014
oversetter,-0.232,-0.014
personalsjef,-0.388,0.006
petroleumsingeniør,0.586,0.041
pilot,0.91,0.013
platearbeider,0.976,0.032
politi,0.252,-0.008
politibetjent,0.288,-0.038
politijurist,-0.082,-0.033
politiker,-0.034,-0.019
portør,0.464,0.002
postbud,0.152,-0.001
prest,0.33,0.02
professor,0.336,0.013
fagoperatør i kjemisk prosessindustri (prosesstekniker),0.7,0.009
psykiater,-0.106,-0.011
psykolog,-0.51,-0.044
radiograf,-0.486,-0.057
radiolog,0.162,-0.027
redaktør,0.006,0.002
regissør,0.098,0.002
regnskapsfører,-0.474,-0.0
reiselivsmedarbeider,-0.352,-0.039
reiseleder,-0.06,-0.009
renholdsoperatør,-0.548,-0.032
resepsjonist,-0.182,-0.128
reseptarfarmasøyt,-0.632,-0.056
revisor,0.026,0.011
ridelærer,-0.826,-0.033
rørlegger,0.972,0.043
saksbehandler,-0.474,-0.028
samfunnsøkonom,0.032,0.036
sanger,-0.164,-0.018
scenograf,-0.382,-0.011
servitør,-0.262,-0.025
sivilingeniør,0.572,0.022
siviløkonom,-0.01,0.011
maritim elektriker,0.976,0.041
skipsmegler,0.73,0.089
skoleassistent,-0.398,-0.054
rektor/skoleleder,-0.174,-0.007
skomaker,0.394,0.04
skuespiller,0.002,-0.053
slakter,0.62,0.029
smed,0.53,0.065
sminkør,-0.734,-0.067
sosialantropolog,-0.126,-0.024
sosiolog,-0.16,-0.031
sosionom,-0.546,-0.087
speditør,0.462,0.048
spesialpedagog,-0.856,-0.046
statsviter,-0.132,-0.013
stipendiat,-0.06,-0.045
styrmann,0.936,0.029
sveiser,0.946,0.042
sykepleier,-0.792,-0.133
sølvsmed,-0.088,0.051
takstmann,0.916,0.069
tak- og membrantekker,0.982,0.093
tannhelsesekretær,-0.944,-0.054
tannlege,-0.22,0.007
tannpleier,-0.948,-0.072
tanntekniker,-0.054,0.027
tavlemontør,0.848,0.028
taxisjåfør,0.786,0.05
teknisk tegner,0.252,0.064
tekstforfatter,-0.094,-0.009
telekommunikasjonsmontør,0.902,0.047
toller,0.058,0.03
trafikklærer,0.524,0.011
tv-fotograf,0.356,-0.04
tømrer,0.978,0.045
urmaker,0.724,0.045
